question,answer
What does life insurance cover?,"Life insurance pays a death benefit to your named beneficiaries if you pass away while the policy is active. Depending on the policy type, it may also build cash value over time (whole/universal life) or provide coverage only for a set term (term life)."
What is the difference between term and whole life insurance?,"Term life insurance covers you for a fixed period (e.g., 10, 20, or 30 years) and has no cash value. Whole life insurance covers you for your entire life and accumulates cash value you can borrow against, but it costs more per dollar of coverage."
Does auto insurance cover a rental car?,"Rental car coverage is an optional add-on to your auto policy. If your policy includes rental car coverage, it typically pays for a replacement vehicle while yours is being repaired after a covered claim."
What is a deductible?,"A deductible is the amount you pay out of pocket before your insurance coverage starts paying for a covered claim. Higher deductibles usually mean lower premiums, and vice versa."
What is the difference between collision and comprehensive coverage?,"Collision coverage pays for damage to your vehicle from an accident with another car or object, regardless of fault. Comprehensive coverage pays for non-collision damage such as theft, vandalism, fire, or weather events."
What is uninsured motorist coverage?,"Uninsured motorist coverage pays for your injuries and, in some states, vehicle damage if you're hit by a driver who has no insurance or insufficient insurance to cover your losses."
How do I file a claim?,"You can file a claim by contacting our claims team with your policy number, the date and description of the incident, and any supporting documentation (photos, police reports, etc.). A claims specialist will guide you through next steps."
How long does it take to process a claim?,"Most claims are reviewed within 5-10 business days after all required documentation is submitted, though complex claims (e.g., large property or liability claims) can take longer."
What happens after I submit a claim?,"After submission, your claim moves to 'under review' while an adjuster verifies the details and estimates the loss. Once approved, it moves to 'approved' and then 'paid' once the settlement is issued."
Why was my claim denied?,"Claims are commonly denied due to a lapse in coverage at the time of the incident, damage excluded under the policy terms, or insufficient documentation. Your denial letter will list the specific reason and how to appeal."
How do I change my billing frequency?,"You can switch between monthly, quarterly, and annual billing by contacting billing support or through your online account. Changes typically take effect on your next billing cycle."
What payment methods are accepted?,"We accept credit card, debit card, and bank transfer (ACH) payments. You can save a payment method on file for automatic recurring payments."
What happens if I miss a payment?,"If a payment is missed, your bill moves to 'overdue' status and you may be charged a late fee. Continued non-payment can eventually lead to a lapse or cancellation of coverage, so it's best to contact billing support as soon as possible."
How do I get a copy of my invoice?,"You can request a copy of any invoice from billing support with your policy number, or download it from your online account's billing history."
What is a premium?,"Your premium is the amount you pay, on a schedule you choose (monthly, quarterly, or annual), to keep your insurance policy active."
Can I lower my premium?,"Premiums can often be reduced by raising your deductible, bundling multiple policies, maintaining a claims-free record, or qualifying for available discounts. A policy specialist can review your options."
What is liability coverage?,"Liability coverage pays for injuries or property damage you cause to others in an accident you're responsible for. It does not cover your own injuries or vehicle damage."
What is the liability limit on my auto policy?,"Your liability limit is the maximum amount your policy will pay for a covered claim where you're at fault. Common limits are $50,000, $100,000, and $300,000, and you can request a change through the policy team."
Does home insurance cover flood damage?,"Standard home insurance policies typically do not cover flood damage. Flood coverage usually requires a separate flood insurance policy, often through the National Flood Insurance Program or a private insurer."
